##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	HG01583.PJL.chr2:134800000-137500000.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	490571
Sequences flagged as poor quality	0
Sequence length	36-250
%GC	41
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	19.515644014831697	23.0	15.0	27.0	2.0	28.0
2	21.63346182305925	23.0	19.0	29.0	2.0	31.0
3	19.384405111594447	22.0	15.0	27.0	2.0	29.0
4	22.023725413854468	26.0	19.0	29.0	2.0	31.0
5	24.043420830012373	28.0	23.0	30.0	2.0	31.0
6	22.797401395516655	27.0	19.0	31.0	2.0	31.0
7	20.470898198222073	24.0	10.0	31.0	2.0	32.0
8	21.50218011256271	26.0	16.0	31.0	2.0	32.0
9	22.986903017096402	28.0	18.0	31.0	2.0	32.0
10-14	22.74205650150539	27.0	19.4	30.4	2.0	31.4
15-19	23.377445058921133	28.2	22.2	30.0	2.0	31.0
20-24	22.078307930962083	26.2	18.0	30.0	2.0	31.0
25-29	23.331088873985625	28.2	21.8	30.0	2.0	31.0
30-34	22.545610319403306	26.8	19.8	30.0	2.0	30.2
35-39	22.27617797816284	27.0	18.8	30.0	2.0	30.8
40-44	21.8758757788455	26.6	16.8	30.0	2.0	31.0
45-49	21.665981761390988	26.0	16.2	30.0	2.0	31.0
50-54	21.473593286349445	26.0	15.6	30.0	2.0	31.0
55-59	21.709109013919125	26.2	16.4	30.0	2.0	31.0
60-64	21.783242102504452	26.6	16.2	30.0	2.0	31.6
65-69	21.634161576489127	26.4	15.0	30.0	2.0	32.0
70-74	21.455107880729532	26.0	13.2	30.4	2.0	32.2
75-79	21.367805525243664	26.2	10.0	30.6	2.0	32.8
80-84	21.085873973888418	25.8	3.2	31.4	2.0	33.0
85-89	20.67835603209384	25.8	2.0	32.0	2.0	33.0
90-94	20.44350424834277	25.4	2.0	32.0	2.0	33.0
95-99	20.62455317702487	26.4	2.0	32.0	2.0	33.2
100-104	20.822196246710238	26.8	2.0	32.0	2.0	33.4
105-109	21.150525829423202	28.0	2.0	32.0	2.0	33.0
110-114	21.179851546555533	28.0	2.0	32.0	2.0	33.0
115-119	21.20838353808879	28.2	2.0	32.0	2.0	33.0
120-124	21.100000595649306	28.2	2.0	32.0	2.0	33.0
125-129	20.97196784322852	27.8	2.0	32.0	2.0	33.0
130-134	20.97303412911602	28.2	2.0	32.0	2.0	33.0
135-139	20.72863478068386	27.4	2.0	32.0	2.0	33.0
140-144	20.705849533299297	27.8	2.0	32.0	2.0	33.0
145-149	20.3328791561119	27.2	2.0	32.0	2.0	33.0
150-154	20.03781076134515	26.8	2.0	32.0	2.0	33.0
155-159	20.017663203777854	26.8	2.0	32.0	2.0	33.0
160-164	19.567212258245007	25.6	2.0	32.0	2.0	33.0
165-169	19.138190887760835	24.8	2.0	32.0	2.0	33.0
170-174	18.819967123966922	24.4	2.0	32.0	2.0	33.0
175-179	18.66014493493573	24.0	2.0	32.0	2.0	33.2
180-184	18.515819184402012	24.2	2.0	32.0	2.0	33.0
185-189	18.200409034436184	23.4	2.0	32.0	2.0	33.0
190-194	17.923767554508512	22.6	2.0	32.0	2.0	33.0
195-199	17.63551673716679	21.8	2.0	32.0	2.0	33.6
200-204	17.278001706755827	20.6	2.0	32.0	2.0	33.4
205-209	17.122854219209426	20.2	2.0	32.0	2.0	33.2
210-214	16.791593153887565	19.8	2.0	31.4	2.0	33.0
215-219	16.63987765516392	19.0	2.0	31.2	2.0	33.0
220-224	16.450741753202266	18.4	2.0	31.0	2.0	33.0
225-229	16.08713938293908	16.2	2.0	31.0	2.0	33.4
230-234	15.776635461984583	13.6	2.0	31.0	2.0	33.0
235-239	15.233508714818157	5.8	2.0	31.0	2.0	34.0
240-244	14.642493386503057	2.0	2.0	31.0	2.0	33.8
245-249	11.977323795978117	2.0	2.0	26.6	2.0	29.0
250	9.675940325778889	2.0	2.0	21.0	2.0	29.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.0393707153757603
1101	2	0.6159141502327472
1101	3	1.5426466748658
1101	4	1.766299316282506
1101	5	1.7002606623639878
1101	6	0.6667546223270726
1101	7	1.305475847470877
1101	8	0.7810348275454615
1101	9	0.527856310126932
1101	10-14	1.0413114539846653
1101	15-19	0.8326012661919293
1101	20-24	1.0868352298384885
1101	25-29	1.3321395079892362
1101	30-34	1.4478142830222325
1101	35-39	1.542738364257172
1101	40-44	1.2792676469072752
1101	45-49	1.0456919886127984
1101	50-54	1.0333149893848521
1101	55-59	0.9614290259974041
1101	60-64	1.0422836911903417
1101	65-69	1.1067725163176156
1101	70-74	1.2430972255485813
1101	75-79	1.4791700001128198
1101	80-84	1.7662883325462602
1101	85-89	1.7852100947944436
1101	90-94	1.8884522227115674
1101	95-99	1.9818846902355176
1101	100-104	1.9129952444786475
1101	105-109	2.037819486372733
1101	110-114	2.007718517849394
1101	115-119	2.090931149746062
1101	120-124	2.0271570528879437
1101	125-129	1.9620168333701464
1101	130-134	2.0890652339312368
1101	135-139	2.013883707285391
1101	140-144	1.979723203363939
1101	145-149	1.935674145751527
1101	150-154	1.7782784680459471
1101	155-159	1.8909285749474556
1101	160-164	1.7433894024878143
1101	165-169	1.8061991257027366
1101	170-174	1.9076659104892464
1101	175-179	1.9411923922633
1101	180-184	2.057387127790669
1101	185-189	2.105806331352131
1101	190-194	2.1642356147056
1101	195-199	2.1609295199608383
1101	200-204	2.313335234848836
1101	205-209	2.2786216136597055
1101	210-214	2.5214590903013203
1101	215-219	2.4651736703009277
1101	220-224	2.6739729411724014
1101	225-229	2.6070839220643602
1101	230-234	2.7029275551681717
1101	235-239	2.5249964108696457
1101	240-244	2.440212865834905
1101	245-249	1.9237336707242214
1101	250	1.67609363292161
1102	1	0.6881456058722293
1102	2	-0.08138945915694151
1102	3	1.372348676475383
1102	4	1.6850919933536055
1102	5	1.2920238326574776
1102	6	1.3154145425692754
1102	7	2.1716933035623818
1102	8	0.4860955476199429
1102	9	1.2869553040244917
1102	10-14	1.2200586389041739
1102	15-19	1.053530811969253
1102	20-24	1.5252443120377102
1102	25-29	1.0870143594859911
1102	30-34	1.3058197069130593
1102	35-39	1.5607327870726806
1102	40-44	1.7083032719058693
1102	45-49	1.0363960799758232
1102	50-54	0.866500815130518
1102	55-59	0.7367162825591578
1102	60-64	1.2242018008088387
1102	65-69	1.4857072605538875
1102	70-74	1.5462368152174832
1102	75-79	1.7780818404709855
1102	80-84	1.9123618729312568
1102	85-89	2.1880306983657363
1102	90-94	2.35559665465707
1102	95-99	2.562380324747334
1102	100-104	2.549372283791712
1102	105-109	2.591958528242195
1102	110-114	2.4180067775829777
1102	115-119	2.4685949090930315
1102	120-124	2.7554178685455355
1102	125-129	2.638598917292292
1102	130-134	2.591195859820772
1102	135-139	2.469227330047527
1102	140-144	2.681607086700172
1102	145-149	2.664724562746944
1102	150-154	2.6489875072044065
1102	155-159	2.7658408013118745
1102	160-164	2.3715763374818764
1102	165-169	2.230389601893215
1102	170-174	2.8322261850495174
1102	175-179	2.910571709980413
1102	180-184	2.882299095210641
1102	185-189	2.8325907746204315
1102	190-194	2.9741994787028254
1102	195-199	2.9499622084807875
1102	200-204	2.3396327201331246
1102	205-209	2.706962441357618
1102	210-214	2.8369262925968783
1102	215-219	2.47629210149789
1102	220-224	2.859589056280317
1102	225-229	3.0072949034091554
1102	230-234	2.8967226489632676
1102	235-239	1.8905567121093991
1102	240-244	1.9352462677888589
1102	245-249	1.972825755881665
1102	250	1.3267175021293767
1103	1	0.411436334404943
1103	2	0.0425051760140569
1103	3	1.2927624087872012
1103	4	1.5298486020990012
1103	5	1.0527398933857306
1103	6	1.665814021184044
1103	7	1.8557254118904822
1103	8	1.7659978347756748
1103	9	1.854404829995289
1103	10-14	1.4889757330254625
1103	15-19	0.7674051918865459
1103	20-24	1.3476910716659916
1103	25-29	0.9562109010889657
1103	30-34	0.8199674389810596
1103	35-39	1.322003054048178
1103	40-44	1.147419355139963
1103	45-49	1.0226895560961928
1103	50-54	0.4437108414810993
1103	55-59	0.9603230305594188
